"Phylum","Environment","Sector","Type_of_cost","country","Cost"
"Arthropoda","Aquatic","Agriculture","Damage","AD",1457769.16834559
"Arthropoda","Aquatic","Agriculture","Damage","AT",5415287.76567017
"Arthropoda","Aquatic","Agriculture","Damage","BE",641655.660043415
"Arthropoda","Aquatic","Agriculture","Damage","BR",151135238.765428
"Arthropoda","Aquatic","Agriculture","Damage","CA",243832472.646816
"Arthropoda","Aquatic","Agriculture","Damage","CH",1659045.40269832
"Arthropoda","Aquatic","Agriculture","Damage","CN",33845632.3682888
"Arthropoda","Aquatic","Agriculture","Damage","CO",26741041.7432692
"Arthropoda","Aquatic","Agriculture","Damage","CR",1990498.6410867
"Arthropoda","Aquatic","Agriculture","Damage","CY",780496.45567257
"Arthropoda","Aquatic","Agriculture","Damage","CZ",1572511.97865771
"Arthropoda","Aquatic","Agriculture","Damage","DE",3925687.76523994
"Arthropoda","Aquatic","Agriculture","Damage","DO",1122779.92527178
"Arthropoda","Aquatic","Agriculture","Damage","EC",10153617.937358
"Arthropoda","Aquatic","Agriculture","Damage","EE",1322128.29728118
"Arthropoda","Aquatic","Agriculture","Damage","EG",9508853.20691056
"Arthropoda","Aquatic","Agriculture","Damage","ES",708908.691380773
"Arthropoda","Aquatic","Agriculture","Damage","FR",1136156.49421831
"Arthropoda","Aquatic","Agriculture","Damage","GB",4322287.49036724
"Arthropoda","Aquatic","Agriculture","Damage","GT",8837201.03705799
"Arthropoda","Aquatic","Agriculture","Damage","HR",6257124.68602245
"Arthropoda","Aquatic","Agriculture","Damage","HU",15673081.3995644
"Arthropoda","Aquatic","Agriculture","Damage","IL",1726047.93674173
"Arthropoda","Aquatic","Agriculture","Damage","IT",4257831.3474333
"Arthropoda","Aquatic","Agriculture","Damage","JP",218671.328232107
"Arthropoda","Aquatic","Agriculture","Damage","KE",16086505.7959952
"Arthropoda","Aquatic","Agriculture","Damage","KI",505702.172663876
"Arthropoda","Aquatic","Agriculture","Damage","KR",2353504.95265992
"Arthropoda","Aquatic","Agriculture","Damage","LU",859980.319357554
"Arthropoda","Aquatic","Agriculture","Damage","MT",1412801.91435957
"Arthropoda","Aquatic","Agriculture","Damage","MX",28073631.8876305
"Arthropoda","Aquatic","Agriculture","Damage","NL",51360.4630955435
"Arthropoda","Aquatic","Agriculture","Damage","PE",7380321.63566087
"Arthropoda","Aquatic","Agriculture","Damage","PL",4150636.78099988
"Arthropoda","Aquatic","Agriculture","Damage","PT",873613.079378687
"Arthropoda","Aquatic","Agriculture","Damage","RW",1995068.57047238
"Arthropoda","Aquatic","Agriculture","Damage","SK",5569466.15435494
"Arthropoda","Aquatic","Agriculture","Damage","TH",11227033.7065759
"Arthropoda","Aquatic","Agriculture","Damage","UG",5668574.91214023
"Arthropoda","Aquatic","Agriculture","Damage","US",125520392.003609
"Arthropoda","Aquatic","Agriculture","Damage","ZA",28881841.3441223
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","AT",853607.879646674
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","BE",620183.467532569
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","CA",222950712.109216
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","CH",637183.478400241
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","CZ",620648.509303591
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","DE",6785029.84988414
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","DK",254981.34044485
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","EE",538107.169878821
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","ES",149640.275212842
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","FI",2959196.05218919
