"","sp","country","invasive"
"1","Miconia calvescens","algeria","invasive"
"2","Miconia calvescens","angola","invasive"
"3","Miconia calvescens","australia","invasive"
"4","Miconia calvescens","belgium","invasive"
"5","Miconia calvescens","dominican republic","invasive"
"6","Miconia calvescens","french polynesia","invasive"
"7","Miconia calvescens","germany","invasive"
"8","Miconia calvescens","grenada","invasive"
"9","Miconia calvescens","indonesia","invasive"
"10","Miconia calvescens","jamaica","invasive"
"11","Miconia calvescens","netherlands","invasive"
"12","Miconia calvescens","new caledonia","invasive"
"13","Miconia calvescens","philippines","invasive"
"14","Miconia calvescens","reunion","invasive"
"15","Miconia calvescens","sri lanka","invasive"
"16","Miconia calvescens","united kingdom","invasive"
"17","Miconia calvescens","united states","invasive"
"18","Miconia calvescens","argentina","native"
"19","Miconia calvescens","belize","native"
"20","Miconia calvescens","bolivia","native"
"21","Miconia calvescens","brazil","native"
"22","Miconia calvescens","colombia","native"
"23","Miconia calvescens","costa rica","native"
"24","Miconia calvescens","ecuador","native"
"25","Miconia calvescens","guatemala","native"
"26","Miconia calvescens","honduras","native"
"27","Miconia calvescens","mexico","native"
"28","Miconia calvescens","nicaragua","native"
"29","Miconia calvescens","panama","native"
"30","Miconia calvescens","paraguay","native"
"31","Miconia calvescens","peru","native"
"32","Abelmoschus moschatus","american samoa","invasive"
"33","Abelmoschus moschatus","cook islands","invasive"
"34","Abelmoschus moschatus","fiji","invasive"
"35","Abelmoschus moschatus","french guiana","invasive"
"36","Abelmoschus moschatus","french polynesia","invasive"
"37","Abelmoschus moschatus","guadeloupe","invasive"
"38","Abelmoschus moschatus","guam","invasive"
"39","Abelmoschus moschatus","japan","invasive"
"40","Abelmoschus moschatus","martinique","invasive"
"41","Abelmoschus moschatus","micronesia, federated states of","invasive"
"42","Abelmoschus moschatus","niue","invasive"
"43","Abelmoschus moschatus","northern mariana islands","invasive"
"44","Abelmoschus moschatus","palau","invasive"
"45","Abelmoschus moschatus","reunion","invasive"
"46","Abelmoschus moschatus","samoa","invasive"
"47","Abelmoschus moschatus","tonga","invasive"
"48","Abelmoschus moschatus","united states","invasive"
"49","Abelmoschus moschatus","wallis and futuna","invasive"
"50","Abelmoschus moschatus","australia","native"
"51","Abelmoschus moschatus","china","native"
"52","Abelmoschus moschatus","india","native"
"53","Abelmoschus moschatus","indonesia","native"
"54","Abelmoschus moschatus","malaysia","native"
"55","Imperata cylindrica","afghanistan","invasive"
"56","Imperata cylindrica","albania","invasive"
"57","Imperata cylindrica","algeria","invasive"
"58","Imperata cylindrica","american samoa","invasive"
"59","Imperata cylindrica","argentina","invasive"
"60","Imperata cylindrica","armenia","invasive"
"61","Imperata cylindrica","australia","invasive"
"62","Imperata cylindrica","azerbaijan","invasive"
"63","Imperata cylindrica","benin","invasive"
"64","Imperata cylindrica","bhutan","invasive"
"65","Imperata cylindrica","bolivia","invasive"
"66","Imperata cylindrica","burkina faso","invasive"
"67","Imperata cylindrica","burundi","invasive"
"68","Imperata cylindrica","cambodia","invasive"
"69","Imperata cylindrica","cameroon","invasive"
"70","Imperata cylindrica","chile","invasive"
"71","Imperata cylindrica","christmas island","invasive"
"72","Imperata cylindrica","colombia","invasive"
"73","Imperata cylindrica","congo","invasive"
"74","Imperata cylindrica","congo, the democratic republic of the","invasive"
"75","Imperata cylindrica","cote d'ivoire","invasive"
"76","Imperata cylindrica","croatia","invasive"
"77","Imperata cylindrica","cyprus","invasive"
"78","Imperata cylindrica","egypt","invasive"
"79","Imperata cylindrica","ethiopia","invasive"
"80","Imperata cylindrica","fiji","invasive"
"81","Imperata cylindrica","france","invasive"
"82","Imperata cylindrica","gabon","invasive"
"83","Imperata cylindrica","gambia","invasive"
"84","Imperata cylindrica","georgia","invasive"
"85","Imperata cylindrica","ghana","invasive"
"86","Imperata cylindrica","greece","invasive"
"87","Imperata cylindrica","guam","invasive"
"88","Imperata cylindrica","guinea","invasive"
"89","Imperata cylindrica","india","invasive"
"90","Imperata cylindrica","indonesia","invasive"
"91","Imperata cylindrica","iran, islamic republic of","invasive"
"92","Imperata cylindrica","iraq","invasive"
"93","Imperata cylindrica","israel","invasive"
"94","Imperata cylindrica","italy","invasive"
"95","Imperata cylindrica","jordan","invasive"
"96","Imperata cylindrica","kazakhstan","invasive"
"97","Imperata cylindrica","kenya","invasive"
"98","Imperata cylindrica","kyrgyzstan","invasive"
"99","Imperata cylindrica","lao people's democratic republic","invasive"
"100","Imperata cylindrica","lebanon","invasive"
"101","Imperata cylindrica","lesotho","invasive"
"102","Imperata cylindrica","liberia","invasive"
"103","Imperata cylindrica","libyan arab jamahiriya","invasive"
"104","Imperata cylindrica","malawi","invasive"
"105","Imperata cylindrica","malaysia","invasive"
"106","Imperata cylindrica","mali","invasive"
"107","Imperata cylindrica","mauritius","invasive"
"108","Imperata cylindrica","mayotte","invasive"
"109","Imperata cylindrica","micronesia, federated states of","invasive"
"110","Imperata cylindrica","morocco","invasive"
"111","Imperata cylindrica","mozambique","invasive"
"112","Imperata cylindrica","myanmar","invasive"
"113","Imperata cylindrica","namibia","invasive"
"114","Imperata cylindrica","nepal","invasive"
"115","Imperata cylindrica","new caledonia","invasive"
"116","Imperata cylindrica","new zealand","invasive"
"117","Imperata cylindrica","nigeria","invasive"
"118","Imperata cylindrica","northern mariana islands","invasive"
"119","Imperata cylindrica","oman","invasive"
"120","Imperata cylindrica","pakistan","invasive"
"121","Imperata cylindrica","palau","invasive"
"122","Imperata cylindrica","peru","invasive"
"123","Imperata cylindrica","philippines","invasive"
"124","Imperata cylindrica","portugal","invasive"
"125","Imperata cylindrica","russian federation","invasive"
"126","Imperata cylindrica","rwanda","invasive"
"127","Imperata cylindrica","samoa","invasive"
"128","Imperata cylindrica","saudi arabia","invasive"
"129","Imperata cylindrica","senegal","invasive"
"130","Imperata cylindrica","seychelles","invasive"
"131","Imperata cylindrica","sierra leone","invasive"
"132","Imperata cylindrica","slovenia","invasive"
"133","Imperata cylindrica","solomon islands","invasive"
"134","Imperata cylindrica","south africa","invasive"
"135","Imperata cylindrica","spain","invasive"
"136","Imperata cylindrica","sri lanka","invasive"
"137","Imperata cylindrica","swaziland","invasive"
"138","Imperata cylindrica","syrian arab republic","invasive"
"139","Imperata cylindrica","tanzania, united republic of","invasive"
"140","Imperata cylindrica","togo","invasive"
"141","Imperata cylindrica","tonga","invasive"
"142","Imperata cylindrica","tunisia","invasive"
"143","Imperata cylindrica","turkey","invasive"
"144","Imperata cylindrica","turkmenistan","invasive"
"145","Imperata cylindrica","uganda","invasive"
"146","Imperata cylindrica","united states","invasive"
"147","Imperata cylindrica","uruguay","invasive"
"148","Imperata cylindrica","uzbekistan","invasive"
"149","Imperata cylindrica","vanuatu","invasive"
"150","Imperata cylindrica","venezuela","invasive"
"151","Imperata cylindrica","yemen","invasive"
"152","Imperata cylindrica","zambia","invasive"
"153","Imperata cylindrica","zimbabwe","invasive"
"154","Imperata cylindrica","asia","native"
"155","Imperata cylindrica","japan","native"
"156","Imperata cylindrica","philippines","native"
"157","Imperata cylindrica","thailand","native"
