"iso2c","Agricultural land (sq. km)","Forest area (sq. km)","Land area (sq. km)","Population","Capture fisheries production (metric tons)","Terrestrial protected areas (% of total land area)","Agriculture, forestry, and fishing, value added (current US$)","GDP (current US$)","Regulatory Quality: Estimate","Life expectancy at birth, total (years)","subregion","Island"
"AF",383130,12084.4,652230,37172386,1500,3.6372566,4883089769.33996,14583135236.5744,-1.27180624008179,61.982,"Southern Asia",0
"AO",458970,660523.133,1246700,30809762,528964,6.9714265,14565458632.5818,106713618735.434,-0.606698572635651,61.643,"Sub-Saharan Africa",0
"AL",11363.3,7889,27400,2866376,9641.5,18.591568,3517362880.64872,18882095517.8768,0.159353822469711,76.463,"Southern Europe",0
"AD",187.562,160,470,77006,0,26.8572655,16615566.1945781,3352032737.0391,1.39833402633667,77.4545987804878,"Southern Europe",0
"AE",3915.615,3173,71020,9630959,61189,19.351305,3793405010.21103,507534921715.453,1.03478074073792,78.71,"Western Asia",0
"AR",1179577.597,284636.667,2736690,44494502,852565.8,8.6914997,40776787591.3056,632770284408.51,-0.697565734386444,75.39,"Latin America and the Caribbean",0
"AM",16748.2,3282.6,28470,2951776,770,24.6810169,2021341611.77038,19502783987.8807,-0.0190788023173809,72.043,"Western Asia",0
"AG",90,80.533,440,96286,3205,19.9374428,32644444.4444444,1757603703.7037,0.28908696770668,78.497,"Latin America and the Caribbean",1
"AU",3635190,1340051,7692020,24992369,171026.48,20.3629208,53155818552.362,1675418665067.09,1.89489328861237,83.3,"Australia and New Zealand",0
"AT",25974.594,39027.4,82520,8840521,350,29.5004673,6165441818.9689,471400066091.247,1.28319978713989,81.2390243902439,"Western Europe",0
"AZ",47806,11432.967,82650,9939800,1464,10.1551256,3750705882.35294,78721058823.5294,-0.103344202041626,69.366,"Western Asia",0
"BI",21030,2796.4,25680,11175378,19550,7.5914717,847239427.587648,3073414677.84385,-0.947485685348511,61.663,"Sub-Saharan Africa",0
"BE",13656.7,6893,30280,11433256,17937,15.5545855,3818670276.45916,578604103123.349,1.25295519828796,81.890243902439,"Western Europe",0
"BJ",39500,30851.5,112760,11485048,74615,29.6433258,4680451311.51509,17401746309.266,-0.348364651203156,59.821,"Sub-Saharan Africa",0
"BF",127400,61664,273600,19751535,29731,16.4263744,3852468895.93813,18884619613.4388,-0.468305677175522,59.27,"Sub-Saharan Africa",0
"BD",100680,18834,130170,161356039,1982482.99,4.6059628,51623512150.4825,460201000095.101,-0.927658915519714,72.381,"Southern Asia",0
"BG",50465.972,39060,108560,7025037,9009.27,41.044857,3917285452.78346,89040398406.3745,0.320686906576157,71.5146341463415,"Eastern Europe",0
"BH",81,7.2,790,1483756,15720,12.9564543,114358510.638298,44390820478.7234,0.970633506774902,78.76,"Western Asia",0
"BS",130,5098.6,10010,385640,8704.85,36.6336479,73900000,12897400000,-0.146485969424248,71.598,"Latin America and the Caribbean",1
"BA",22630,21879.1,51200,3323929,305,4.0636635,1155742533.63096,24527507287.7962,-0.157615318894386,75.3,"Southern Europe",0
"BY",81740,87821,202950,9483499,611.23,13.8429871,5611259033.85318,72793457588.4367,-1.33121407032013,72.3706829268293,"Eastern Europe",0
"BZ",1820,12658.9,22810,383071,191621.2,37.5465813,214607729.934174,2824081836.19867,-0.438766330480576,70.47,"Latin America and the Caribbean",0
"BO",381193.672,506207.733,1083300,11353142,7600,30.8655682,5221650824.89146,43068885672.9378,-1.21053624153137,63.63,"Latin America and the Caribbean",0
"BR",2393695.61,4953913.667,8358140,209469333,760622.55,30.3046875,130819604592.733,1920095560995.06,-0.220437631011009,72.75,"Latin America and the Caribbean",0
"BB",100,63,430,286641,846.57,1.2701082,71800000,5637914514.6379,0.476500302553177,77.571,"Latin America and the Caribbean",1
"BN",134,3800,5270,428962,15295,46.8721199,182856326.840169,16681531645.7347,1.06704342365265,74.642,"South-eastern Asia",1
"BT",5130,27270.6,38140,754394,15,49.6693344,487382305.270585,2539551327.48291,-0.381970435380936,71.815,"Southern Asia",0
"BW",258620,151364,566730,2254126,38,29.1432571,357959908.560311,20352322157.1467,0.621043562889099,61.141,"Sub-Saharan Africa",0
"CF",49100,222730,622980,4666377,28000,18.0648232,698890975.263684,2382618615.3562,-1.47418415546417,53.895,"Sub-Saharan Africa",0
"CA",569910,3468911.133,8788700,37058856,754504.64,12.7079391,29592400071.463,2139840023673.81,1.67709279060364,82.5966097560976,"Northern America",0
"CH",14993.783,12725.5,39509.63,8516543,1485.93,12.1402102,4946930482.57155,807706035351.75,1.62011301517487,83.8512195121951,"Western Europe",0
"CL",105955.37,183336.2,743532,18729160,2390072.38,21.0499763,10669495878.7394,301025249437.947,0.978411138057709,78.944,"Latin America and the Caribbean",0
"CN",5206950,2218577.5,9388210,1392730000,13142836.98,15.616046,1311311068056.65,17963170521079.8,-0.418417632579803,78.211,"Eastern Asia",0
"CI",235000,27238.267,318000,25069229,105295.36,22.9614124,11703885529.212,70018715016.6967,-0.152012959122658,58.598,"Sub-Saharan Africa",0
"CM",97500,202844.8,472710,25216237,290330,10.9788837,7528517954.17394,44341646509.2193,-0.898889482021332,60.333,"Sub-Saharan Africa",0
"CD",338980,1250538.633,2267050,84068091,228665,13.853673,10126991701.55,58065953573.3247,-1.47606945037842,59.193,"Sub-Saharan Africa",0
