"Phylum","Class","Geographic_region","Sector","Environment","Cost","Country","Type_of_cost","Group"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",16701772.13,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Environment","Terrestrial",181333525.96,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",21855461.81,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",84091036.7,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",46096891.07,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",22055883.08,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",4037056.92,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",21768528.87,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",1400278.96,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",477193.49,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",200421.27,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",2833956.81,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Agriculture","Semi-aquatic",252514.54,"Italy","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Semi-aquatic",664649.21,"Italy","Management","Vertebrates"
"Chordata","Mammalia","Central America","Agriculture","Terrestrial",366461.68,"United States","Damage","Vertebrates"
"Chordata","Mammalia","Central America","Authorities-Stakeholders","Terrestrial",1493050.3,"United States","Management","Vertebrates"
"Chordata","Mammalia","Central America","Authorities-Stakeholders","Terrestrial",44852.21,"United States","Management","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",4598934.83,"United Kingdom","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",25210018.96,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",7578131.7,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",3974359.49,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",12534742.21,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",1547499.04,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",8007753.18,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",4976667.79,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",23741428.28,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Europe","Public and Social Welfare","Semi-aquatic",2888389.45,"Italy","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",43244822.15,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",183574403.67,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",18846651.32,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",8189159.6,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",715790.23,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",1049825.68,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",3897801.29,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",2336849.53,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",1188476.88,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",833948.18,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",889617.98,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",360601.01,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",6299062.52,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",12080393.88,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",28475214.14,"New Zealand","Management","Vertebrates"
