Taxon,Region,LifeForm,PresentStatus,FirstRecord,FirstRecord_orig,DataQuality,Source
Acanthophora muscoides,Turkey,Algae,,1986,1986,,Cinar et al. (2005)
Acanthophora nayadiformis,Cyprus,Algae,alien,1997,1997,,DAISIE
Acanthophora nayadiformis,Turkey,Algae,,1970,1970,,Cinar et al. (2005)
Acanthophora spicifera,Hawaiian Islands,Algae,,1952,1952,,Carlton & Eldrege (2009)
Acetabularia calyculus,Israel,Algae,established,1943,1943,,DAISIE
Acetabularia calyculus,Spain,Algae,established,1957,1957,,DAISIE
Achnanthes pseudogroenlandica,Bulgaria,Algae,,1984,1984,,aquaNIS
Achnanthes pseudogroenlandica,Romania,Algae,,1984,1984,,aquaNIS
Achnanthes pseudogroenlandica,Ukraine,Algae,,1984,1984,,DAISIE
Acrochaetium catenulatum,Netherlands,Algae,,1967,1967,,aquaNIS
Acrochaetium codicolum,Turkey,Algae,,1986,1986,,Cinar et al. (2005)
Acrochaetium kylinii,Turkey,Algae,,2004,2000 - 2009,NEW_random,aquaNIS
Acrochaetium leptonema,Bulgaria,Algae,,2002,2000 - 2009,NEW_random,aquaNIS
Acrochaetium leptonema,Turkey,Algae,,2009,2000 - 2009,NEW_random,aquaNIS
Acrochaetium mahumetanum,Romania,Algae,,1938,1938,,aquaNIS
Acrochaetium mahumetanum,Turkey,Algae,,2008,2000 - 2009,NEW_random,aquaNIS
Acrochaetium mediterraneum,Turkey,Algae,,2007,2000 - 2009,NEW_random,aquaNIS
Acrochaetium microscopicum,Turkey,Algae,,2005,2000 - 2009,NEW_random,aquaNIS
Acrochaetium moniliforme,Turkey,Algae,,2009,2000 - 2009,NEW_random,aquaNIS
Acrochaetium rosulatum,Bulgaria,Algae,,1999,1990 - 1999,NEW_random,aquaNIS
Acrochaetium rosulatum,Turkey,Algae,,2007,2000 - 2009,NEW_random,aquaNIS
Acrochaetium savianum,Netherlands,Algae,established,1960,1960 - 1969,NEW_random,DAISIE
Acrochaetium subpinnatum,Turkey,Algae,,2005,2000 - 2009,NEW_random,aquaNIS
Acrothamnion preissii,France,Algae,established,1981,1981,,DAISIE
Acrothamnion preissii,Italy,Algae,,1966,1966 - 1970,NEW_random,DAISIE
Acrothrix gracilis,France,Algae,established,1998,1998,,DAISIE
Actinocyclus normanii,Russia,Algae,established,1986,1986 - 1986,,DAISIE
Agardhiella subulata,France,Algae,established,1984,1984,,DAISIE
Agardhiella subulata,Italy,Algae,,1987,1987,,DAISIE
Agardhiella subulata,Netherlands,Algae,,1998,1998,,aquaNIS
Agardhiella subulata,United Kingdom,Algae,established,1973,1973,,Roy H et al. (2012) 
Aglaothamnion feldmanniae,France,Algae,established,1979,1979,,DAISIE
Aglaothamnion halliae,Germany,Algae,,1960,1960 - 1960,,Rabitsch & Nehring 2017
Aglaothamnion halliae,Norway,Algae,established,1980,1980 - 1980,,GISD
Aglaothamnion halliae,Sweden,Algae,,2003,2003,,aquaNIS
Ahnfeltiopsis flabelliformis,France,Algae,established,1994,1994,,DAISIE
Ahnfeltiopsis furcellata,Turkey,Algae,,1999,1990 - 1999,NEW_random,aquaNIS
Alexandrium affine,Ukraine,Algae,,2001,2001,,DAISIE
Alexandrium catenella,Australia,Algae,,1988,1988,,Hewitt et al. (2004)
Alexandrium catenella,Ukraine,Algae,,2001,2001,,DAISIE
Alexandrium leei,France,Algae,,1995,1995,,aquaNIS
Alexandrium leei,Netherlands,Algae,,1991,1991,,aquaNIS
Alexandrium minutum,Bulgaria,Algae,,2008,2008,,aquaNIS
Alexandrium minutum,China,Algae,,1992,1990s,NEW_random,Xu et al. (2012)
Alexandrium minutum,France,Algae,established,1985,1985 - 1985,,DAISIE
Alexandrium minutum,Germany,Algae,,1993,1993 - 1993,,Rabitsch & Nehring 2017
Alexandrium minutum,Russia,Algae,,2000,2000,,aquaNIS
Alexandrium minutum,Sweden,Algae,,1996,1996,,aquaNIS
Alexandrium minutum,Turkey,Algae,,2003,2002 - 2003,NEW_random,aquaNIS
Alexandrium monilatum,Bulgaria,Algae,,1991,1991,,aquaNIS
Alexandrium monilatum,Ukraine,Algae,,2001,2001,,aquaNIS
Alexandrium ostenfeldii,Russia,Algae,,2004,2004,,aquaNIS
Alexandrium pseudogonyaulax,Ukraine,Algae,,2002,2002,,DAISIE
Alexandrium tamarense,Bulgaria,Algae,,2008,2008,,aquaNIS
Alexandrium tamarense,Germany,Algae,,1973,1972 - 1974,NEW_random,Rabitsch & Nehring 2018
Alexandrium tamarense,Ireland,Algae,established,1986,1986,,DAISIE
Alexandrium tamarense,Netherlands,Algae,established,1989,1989 - 1989,,DAISIE
Alexandrium tamarense,Romania,Algae,,2004,2004,,aquaNIS
Alexandrium tamarense,Russia,Algae,,2004,2004,,aquaNIS
Alexandrium tamarense,Turkey,Algae,,1984,1984,,Cinar et al. (2005)
Alexandrium tamarense,Ukraine,Algae,,2001,2001,,DAISIE
Alexandrium tamarense,United Kingdom,Algae,established,1957,1957,,Roy H et al. (2012) 
Alexandrium taylori,France,Algae,,1994,1994,,aquaNIS
Amphiroa rigida,Turkey,Algae,,1995,1990 - 1999,NEW_random,aquaNIS
Amphistegina lobifera,Turkey,Algae,,2002,2002,,Cinar et al. (2005)
Anotrichium furcellatum,Canary Islands,Algae,established,2004,2004,,DAISIE
Anotrichium furcellatum,France,Algae,,1922,1922,,aquaNIS
Anotrichium furcellatum,Netherlands,Algae,,1950,1950,,aquaNIS
Anotrichium furcellatum,Spain,Algae,,1979,1979,,aquaNIS
Anotrichium furcellatum,United Kingdom,Algae,established,1976,1976,,Roy H et al. (2012) 
Antithamnion amphigeneum,Italy,Algae,,1995,1995,,DAISIE
Antithamnion amphigeneum,Spain,Algae,established,1990,1990,,DAISIE
Antithamnion densum,Canary Islands,Algae,established,2006,2006,,DAISIE
Antithamnion densum,France,Algae,,1964,1964,,aquaNIS
Antithamnion densum,Ireland,Algae,alien,1991,1991,,DAISIE
Antithamnion densum,Spain,Algae,,1992,1984 - 1995,NEW_random,aquaNIS
Antithamnion diminuatum,Azores,Algae,alien,1989,1989,,DAISIE
Antithamnion diminuatum,Canary Islands,Algae,established,1996,1996,,DAISIE
Antithamnionella spirographidis,Australia,Algae,,1976,1976,,Hewitt et al. (2004)
Antithamnionella spirographidis,Azores,Algae,alien,1987,1987,,DAISIE
Antithamnionella spirographidis,Belgium,Algae,,1992,1992,,aquaNIS
Antithamnionella spirographidis,France,Algae,,1911,1911,,aquaNIS
Antithamnionella spirographidis,Germany,Algae,,2012,2012 - 2012,,Rabitsch & Nehring 2017
